note-28813649,数据科学的原理与技巧一、数据科学的生命周期,/p/720ea4e11dc5,一、数据科学的生命周期原文：DS-100/textbook/notebooks/ch01译者：飞龙协议：CCBY-NC-SA4.0自豪地采...
note-28803393,说说面向切面编程（AOP）,/p/8fb1281644c6,编程语言的发展历程从机器语言到面向过程语言，再到面向对象的语言（OOP），它的终极目标是能够以更自然、更灵活的方式来模拟世界。AOP是发展到一...
note-28803993,聊聊代码整洁之道,/p/d5fefcd1d183,Anyfoolcanwritecodethatacomputercanunderstand.Goodprogrammers...
note-28745916,网络协议补完计划--IP协议,/p/386add665294,目录前言IP协议概述IP协议工作原理IP协议的特点IP地址IPV4与IPV6特殊地址私有地址子网技术子网掩码超网技术IP数据包本...
note-28694491,【Ovirt笔记】Backend执行分析整理,/p/a88f84164c7b,文前说明作为码农中的一员，需要不断的学习，我工作之余将一些分析总结和学习笔记写成博客与大家一起交流，也希望采用这种方式记录自己的学习之旅。本文仅...
note-28802878,安卓开发点击空白处收起键盘,/p/07963a45524b,前言在产品迭代的过程中，为了优化用户体验，展示我们产品的人文情怀，在有EditText控件或者自定义的输入框控件的页面，我们时常会被要求加入点...
note-28805806,Docker相似的命令与区别,/p/5cbf2732a2ed,killvsstop两个命令都是停止docker，不同之处在于：dockerstop:先发SIGTERM信号给docker，允许其在...
note-28242656,程序员七年职场得失,/p/e0e03a834a6f,我是一名程序员，工作了七年的老程序员。婚姻上有“七年之痒”的说法，不知道职场上有没有？反正我觉得有点痒了。今天就来聊聊这七年。刚毕业那年，我辞...
note-28806536,在Docker容器中部署SpringBoot应用,/p/94e8dbba5d1d,Docker是开发者的开放平台，它是一个机制，通过将每个应用程序打包到容器中来隔离依赖关系。容器是可扩展的，可更安全的使用和部署。Docker容...
note-28806888,Jitpack，快速发布你的项目,/p/ad6d8cfb4258,前言当你辛辛苦苦在github上写了一个库，却会发现，调用起来太麻烦了，如果可以像这样：implementation'com.github...
note-28806815,使用scikit-learn计算文本TF-IDF值(更新中）,/p/4bc7fbdafdeb,一、TF-IDF介绍（一）术语介绍TF-IDF（TermFrequency-InversDocumentFrequency）是一种常用于...
note-28806610,如何去掉bootstraptable中表格样式中横线竖线,/p/ea0f2b44a8cb,修改之前，表格看上去比较拥挤，因为bootstraptable插件中自带斑马线表格样式，有横线和竖线分栏，现在我们不需要这些。应UI设计的要...
note-28803696,函数式编程思维在三行代码情书中的应用,/p/e9ed6f4d09a3,函数式编程概述如今主流的编程语言，函数式编程范式或多或少都融入其中成了“标配”，或者说主流语言都在进行函数式方面的扩充，这是一个大趋势。以Ja...
note-28804438,这款神器让3000多个失踪孩子回家，原来科技可以如此有情有义！,/p/2baaddbfa92c,"“这些年来，只有在路上,我才真的感觉到我是一个爸爸。”电影《失孤》中刘德华饰演的父亲原型，他从来没有在家过过春节。不知道儿子在哪儿过年，..."
